,Unnamed: 0	,rcept_no,new_corp_code,dcm_no
560,560,20210318001155,00121941,7893239
561,561,20210317000510,00124726,7883322
562,562,20210322000825,00445160,7905400
563,563,20210323000920,00408956,7911590
564,564,20210311001060,00260383,7868550
565,565,20210315000793,00181299,7875462
566,566,20210318001200,00939331,7893553
567,567,20210323001022,00363510,7912145
568,568,20210322001125,00288495,7907195
569,569,20210317001103,00264228,7886508
570,570,20210319001221,00317210,7900459
571,571,20210311001124,00201742,7868776
572,572,20210318000734,00147082,7890700
573,573,20210713000094,00188715,8141116
574,574,20210405002921,00103592,7970529
575,575,20210311000698,00173944,7866301
576,576,20210318000420,00138446,7888978
577,577,20210330000569,00256043,7929315
578,578,20210331002863,00406046,7942692
579,579,20210315000907,00414850,7875879
580,580,20210322000395,00132992,7903081
581,581,20210504000182,00390860,8055517
582,582,20210315001013,00105475,7876303
583,583,20210318001309,00974927,7894258
584,584,20210315000267,00993931,7873730
585,585,20210331002661,00809429,7941851
586,586,20210316001195,00139719,7881169
587,587,20210318000448,00816544,7889224
588,588,20210322000868,00173591,7905638
589,589,20210326000001,00632304,7919100
590,590,20210318000809,00148993,7891129
591,591,20210318001338,00413046,7894429
592,592,20210420000262,00122551,8034925
593,593,20210319001186,00362201,7900221
594,594,20210323000717,00261957,7910493
595,595,20210319000715,00104786,7897871
596,596,20210322000956,00113535,7906132
597,597,20210419000082,00171265,8032985
598,598,20210316000768,00277736,7879427
599,599,20210323000897,00134565,7911450
600,600,20210323001141,00133876,7912827
601,601,20210317001218,00128971,7887207
602,602,20210316000923,00269852,7880056
603,603,20210322001079,01187494,7906831
604,604,20210311000326,00961507,7865937
605,605,20210323000552,00158565,7909680
606,606,20210323000681,00258421,7910298
607,607,20210318001207,00219361,7893601
608,608,20210317000965,00187415,7885751
609,609,20210311000855,00165060,7867681
610,610,20210407002964,00302078,7989093
611,611,20210218000901,00648721,7809567
612,612,20210709000075,00409681,8137982
613,613,20210316000446,00623661,7878096
614,614,20211201000368,00264714,8299832
615,615,20210330000027,00793155,7927710
616,616,20210329000724,00390408,7925781
617,617,20210604000262,00292434,8099164
618,618,20210319000955,00173999,7899023
619,619,20210611000249,01276026,8106544
620,620,20210322000255,00144012,7902532
621,621,20201130001170,01338724,7597100
622,622,20210322001027,00144164,7906528
623,623,20210323000907,00131832,7911529
624,624,20210322000672,00675594,7904489
625,625,20210318000876,00828789,7891527
626,626,20210323000499,00377018,7909398
627,627,20210322000552,00883980,7903858
628,628,20210322000566,01077577,7903947
629,629,20210315001080,00165413,7876613
630,630,20210319001159,00300548,7900070
631,631,20210319000985,00216434,7899176
632,632,20210319000735,00442455,7897949
633,633,20210616000380,00155355,8111699
634,634,20210323000423,00349811,7909055
635,635,20210325000502,00127255,7917555
636,636,20210319000929,01222867,7898895
637,637,20210316000829,00121534,7879596
638,638,20210319001163,00369170,7900115
639,639,20210319000262,00390365,7895961
640,640,20210326000871,00152686,7921753
641,641,20210517001174,00127158,8073476
642,642,20210316000330,00454946,7877672
643,643,20210315000628,00220969,7874920
644,644,20210317000060,00785475,7881774
645,645,20210318000933,00117027,7891906
646,646,20210323000355,00843900,7908809
647,647,20210330001659,00530413,7933149
648,648,20210316000210,00956028,7877340
